Car Names,Years of Production,Number Of,BodyStyles
   Toyota Picnic 2.0 GLi,1996 - 2001,5,"MPV
"
   Toyota Previa 2.4 XLi,1992 - 1998,4,"MPV
"
   Toyota Previa 2.4 16v VVT-i Linea Terra,2000 - 2003,5,"MPV
"
   Toyota Previa 2.4 16v VVT-i Linea Terra,2003 - 2005,5,"MPV
"
   Toyota Prius THSD,2004 - 2006,5,"Hatchback
"
,,,
,,,
,,,
   Toyota Prius THSD Comfort,2006 - 2009,5,"Hatchback
"
   Toyota Prius 1.8 HSD Comfort,2009 - 2011,5,"Hatchback
"
   Toyota Prius 1.8 HSD Comfort,2011 - 2016,5,"Hatchback
"
   Toyota Prius,2000 - 2004,4,"Sedan
"
   Toyota Prius Wagon 1.8 HSD Comfort,2011 - 2013,5,"MPV
"
   Toyota RAV4 1.8 16v VVT-i Linea Luna 2WD,2000 - 2003,3,"SUV
"
   Toyota RAV4 1.8 16v VVT-i Linea Terra 2WD,2003 - 2005,3,"SUV
"
   Toyota RAV4 1.8 16v VVT-i Linea Luna 2WD,2000 - 2003,5,"SUV
"
   Toyota RAV4 1.8 16v VVT-i Linea Terra 2WD,2003 - 2005,5,"SUV
"
   Toyota RAV4 2.0 16v VVT-i,2006 - 2009,5,"SUV
"
   Toyota RAV4 2.0 16v VVT-i 2WD Comfort,2009 - 2010,5,"SUV
"
   Toyota RAV4 2.0 VVT-i 2WD Comfort,2010 - 2013,5,"SUV
"
   Toyota Starlet 1.0 Economic,1980 - 1982,3,"Hatchback
"
   Toyota Starlet 1.0 Economic,1983 - 1985,3,"Hatchback
"
   Toyota Starlet 1.0 Economic,1985 - 1990,3,"Hatchback
"
   Toyota Starlet 1.3 XL,1990 - 1991,3,"Hatchback
"
   Toyota Starlet 1.3i,1996 - 1999,3,"Hatchback
"
   Toyota Starlet 1.2 DL,1980 - 1982,5,"Hatchback
"
   Toyota Starlet 1.3 DX,1983 - 1985,5,"Hatchback
"
   Toyota Starlet 1.0 DX,1985 - 1987,5,"Hatchback
"
   Toyota Starlet 1.3i,1994 - 1996,5,"Hatchback
"
   Toyota Starlet 1.3i,1996 - 1999,5,"Hatchback
"
   Toyota Starlet Combi 1.2 DL,1980 - 1981,5,"Station wagon
"
   Toyota Urban Cruiser 1.3 VVT-i Comfort,2009 - 2011,5,"MPV
"
   Toyota Verso 1.6 16v VVT-i,2007 - 2008,5,"MPV
"
   Toyota Verso 1.6 16v VVT-i Comfort,2009 - 2013,5,"MPV
"
   Toyota Verso-S 1.3 VVT-i Comfort,2011 - 2016,5,"MPV
"
   Toyota Yaris 1.0 16v VVT-i,1999 - 2003,3,"Hatchback
"
   Toyota Yaris 1.0 16v VVT-i,2003 - 2005,3,"Hatchback
"
   Toyota Yaris 1.0 12v VVT-i,2005 - 2008,3,"Hatchback
"
   Toyota Yaris 1.0 12v VVT-i Access,2009 - 2011,3,"Hatchback
"
   Toyota Yaris 1.0 VVT-i Acces,2012 - 2014,3,"Hatchback
"
   Toyota Yaris 1.0 16v VVT-i Yorin,2001 - 2003,5,"Hatchback
"
   Toyota Yaris 1.0 16v VVT-i Linea Terra,2003 - 2005,5,"Hatchback
"
   Toyota Yaris 1.0 12v VVT-i +,2008 - 2009,5,"Hatchback
"
   Toyota Yaris 1.0 12v VVT-i Access,2009 - 2011,5,"Hatchback
"
   Toyota Yaris 1.0 VVT-i Acces,2012 - 2014,5,"Hatchback
"
   Toyota Yaris Verso 1.3 16v VVT-i Linea Luna E,1999 - 2002,5,"MPV
"
   Toyota Yaris Verso 1.3 16v VVT-i,2003 - 2005,5,"MPV
"
   Volkswagen Amarok 2.0 TDI 122hp Easyline,2011 - 2013,4,"Pick-up
"
   Volkswagen Beetle 1.2 TSI Trend,2011 - 2013,3,"Hatchback
"
   Volkswagen Bora 1.4 16V,1998 - 2001,4,"Sedan
"
   Volkswagen Bora Variant 1.8 5V Turbo Highline,2000 - 2004,5,"Station wagon
"
   Volkswagen Caddy Combi 1.4-16V Trendline,2004 - 2006,4,"MPV
"
   Volkswagen Caddy Combi 1.2 TSI 85hp Easyline,2010 - 2015,4,"MPV
"
   Volkswagen CC 1.4 TSI,2012 - 2014,4,"Sedan
"
   Volkswagen Corrado 2.0i,1993 - 1995,3,"Coupe
"
   Volkswagen Crafter L1H1 30 2.0 TDI 109hp BlueMotion,2015 - 2016,4,"Passenger bus
"
,,,
,,,
,,,
   Volkswagen Eos 1.6 16V FSI,2006 - 2008,2,"Convertible
"
   Volkswagen Eos 1.4 TSI 122hp BlueMotion Technology,2011 - 2013,2,"Convertible
"
   Volkswagen Fox 1.2,2005 - 2010,3,"Hatchback
"
   Volkswagen Golf 1100,1974 - 1981,3,"Hatchback
"
   Volkswagen Golf 1.1 C,1981 - 1983,3,"Hatchback
"
   Volkswagen Golf 1.05,1985 - 1986,3,"Hatchback
"
   Volkswagen Golf 1.3,1986 - 1989,3,"Hatchback
"
   Volkswagen Golf 1.4 CL,1991 - 1995,3,"Hatchback
"
   Volkswagen Golf 1.4 16V,1998 - 2003,3,"Hatchback
"
   Volkswagen Golf 1.4 16V Trendline,2003 - 2006,3,"Hatchback
"
   Volkswagen Golf 1.4 16V Easyline,2008 - 2012,3,"Hatchback
"
   Volkswagen Golf 1100,1974 - 1981,5,"Hatchback
"
   Volkswagen Golf 1.1 C,1981 - 1983,5,"Hatchback
"
   Volkswagen Golf 1.3 C,1983 - 1986,5,"Hatchback
"
   Volkswagen Golf 1.3,1986 - 1989,5,"Hatchback
"
   Volkswagen Golf 1.4 CL,1992 - 1995,5,"Hatchback
"
   Volkswagen Golf 1.4 16V,1997 - 2003,5,"Hatchback
"
   Volkswagen Golf 1.4 16V Trendline,2003 - 2006,5,"Hatchback
"
   Volkswagen Golf 1.4 16V Easyline,2008 - 2012,5,"Hatchback
"
   Volkswagen Golf Variant 1.4 CL,1993 - 1995,5,"Station wagon
"
   Volkswagen Golf Variant 1.4 16V,1999 - 2006,5,"Station wagon
"
   Volkswagen Golf Variant 1.4 16V Trendline,2007 - 2009,5,"Station wagon
"
   Volkswagen Golf Variant 1.4 16V Trendline,2009 - 2010,5,"Station wagon
"
   Volkswagen Golf Cabriolet GLS,1979 - 1981,2,"Convertible
"
   Volkswagen Golf Cabriolet 1.5 GL,1981 - 1983,2,"Convertible
"
   Volkswagen Golf Cabriolet 1.6 GL,1983 - 1984,2,"Convertible
"
   Volkswagen Golf Cabriolet,1986 - 1993,2,"Convertible
"
   Volkswagen Golf Cabriolet 1.8 75hp,1993 - 1998,2,"Convertible
"
   Volkswagen Golf Cabriolet 1.8 75hp Trendline,1998 - 2001,2,"Convertible
"
   Volkswagen Golf Cabriolet 1.2 TSI 105hp BMT,2011 - 2015,2,"Convertible
"
   Volkswagen CrossGolf 1.6,2007 - 2009,5,"MPV
"
   Volkswagen CrossGolf 1.2 TSI 105hp,2010 - 2012,5,"MPV
"
   Volkswagen Golf Plus 1.4 16V Trendline,2005 - 2006,5,"MPV
"
   Volkswagen Golf Plus 1.4 16V Easyline,2009 - 2012,5,"MPV
"
   Volkswagen Jetta 1300,1980 - 1981,2,"Sedan
"
   Volkswagen Jetta 1.3 C,1981 - 1983,2,"Sedan
"
   Volkswagen Jetta 1.3 C,1984 - 1986,2,"Sedan
"
   Volkswagen Jetta 1.3,1986 - 1989,2,"Sedan
"
   Volkswagen Jetta 1300,1980 - 1981,4,"Sedan
"
   Volkswagen Jetta 1.3 C,1981 - 1983,4,"Sedan
"
   Volkswagen Jetta 1.3 C,1984 - 1986,4,"Sedan
"
   Volkswagen Jetta 1.3,1986 - 1989,4,"Sedan
"
   Volkswagen Jetta 1.6 Trendline,2005 - 2011,4,"Sedan
"
   Volkswagen Jetta 1.2 TSI BMT Easyline,2011 - 2014,4,"Sedan
"
   Volkswagen Lupo 1.0,1998 - 2005,3,"Hatchback
"
   Volkswagen New Beetle 1.4,2003 - 2005,3,"Hatchback
"
   Volkswagen New Beetle Coupe 1.4 Trendline,2005 - 2011,3,"Hatchback
"
   Volkswagen New Beetle Cabrio 1.4,2003 - 2005,2,"Convertible
"
,,,
,,,
,,,
   Volkswagen New Beetle Cabrio 1.4 Trendline,2005 - 2011,2,"Convertible
"
   Volkswagen Passat 1.3 C,1981 - 1985,3,"Hatchback
"
   Volkswagen Passat 1300,1980 - 1981,5,"Hatchback
"
   Volkswagen Passat 1.3 C,1981 - 1984,5,"Hatchback
"
   Volkswagen Passat 1.3 C,1985 - 1986,5,"Hatchback
"
   Volkswagen Passat 2.0 GL Variant,1985 - 1986,5,"Hatchback
"
   Volkswagen Passat 1.3 C,1985 - 1986,4,"Sedan
"
   Volkswagen Passat 1.6 CL,1988 - 1990,4,"Sedan
"
   Volkswagen Passat 1.8 75hp,1994 - 1995,4,"Sedan
"
   Volkswagen Passat 1.6,1996 - 2000,4,"Sedan
"
   Volkswagen Passat 1.6,2000 - 2005,4,"Sedan
"
   Volkswagen Passat 1.6 Businessline,2007 - 2008,4,"Sedan
"
   Volkswagen Passat 1.4 TSI BMT Easyline,2010 - 2014,4,"Sedan
"
   Volkswagen Passat CC 1.8 TSI,2008 - 2010,4,"Sedan
"
   Volkswagen Passat Alltrack 1.8 TSI,2012 - 2014,5,"Station wagon
"
   Volkswagen Passat Variant 1300,1980 - 1981,5,"Station wagon
"
   Volkswagen Passat Variant 1.3 C,1981 - 1985,5,"Station wagon
"
   Volkswagen Passat 1.3 C Variant,1985 - 1986,5,"Station wagon
"
   Volkswagen Passat Variant 1.6 CL,1988 - 1990,5,"Station wagon
"
   Volkswagen Passat Variant 1.8 75hp,1994 - 1995,5,"Station wagon
"
   Volkswagen Passat Variant 1.6,1997 - 2000,5,"Station wagon
"
   Volkswagen Passat Variant 1.6,2000 - 2005,5,"Station wagon
"
   Volkswagen Passat Variant 1.6 Businessline,2007 - 2008,5,"Station wagon
"
   Volkswagen Passat Variant 1.4 TSI BMT Easyline,2010 - 2014,5,"Station wagon
"
   Volkswagen Phaeton 3.2 V6 5-zitter,2002 - 2004,4,"Sedan
"
   Volkswagen Phaeton 3.6 V6 4Motion 5-zitter,2010 - 2015,4,"Sedan
"
   Volkswagen Polo 900,1975 - 1981,3,"Hatchback
"
   Volkswagen Polo 1.0,1981 - 1986,3,"Hatchback
"
   Volkswagen Polo 1.0 Fox,1990 - 1994,3,"Hatchback
"
   Volkswagen Polo 1.0,1995 - 1996,3,"Hatchback
"
   Volkswagen Polo 1.0,1999 - 2001,3,"Hatchback
"
   Volkswagen Polo 1.2 55hp,2002 - 2005,3,"Hatchback
"
   Volkswagen Polo 1.2 55hp Trendline,2005 - 2007,3,"Hatchback
"
   Volkswagen Polo 1.2 60hp Easyline,2009 - 2014,3,"Hatchback
"
   Volkswagen Polo 1.0 C Coupe,1984 - 1986,3,"Hatchback
"
   Volkswagen Polo 1.0 Fox Coupe,1990 - 1994,3,"Hatchback
"
   Volkswagen CrossPolo 1.2 12V 65hp,2006 - 2007,5,"Hatchback
"
   Volkswagen CrossPolo 1.4,2010 - 2012,5,"Hatchback
"
   Volkswagen Polo 1.0,1995 - 1996,5,"Hatchback
"
   Volkswagen Polo 1.0,1999 - 2001,5,"Hatchback
"
   Volkswagen Polo 1.2 55hp,2001 - 2005,5,"Hatchback
"
   Volkswagen Polo 1.2 55hp Trendline,2005 - 2007,5,"Hatchback
"
   Volkswagen Polo 1.2 60hp Easyline,2009 - 2014,5,"Hatchback
"
   Volkswagen Polo Fun 1.4 16V 75hp,2004 - 2005,5,"Hatchback
"
   Volkswagen Polo 1.0 C,1983 - 1986,2,"Sedan
"
   Volkswagen Polo 1.0 CL,1990 - 1991,2,"Sedan
"
   Volkswagen Polo Sedan 1.4,1996 - 1999,4,"Sedan
"
   Volkswagen Polo Variant 1.4,1997 - 2000,5,"Station wagon
"
,,,
,,,
,,,
   Volkswagen Polo Variant 1.4,2000 - 2001,5,"Station wagon
"
   Volkswagen Scirocco GT 70,1977 - 1981,2,"Sedan
"
   Volkswagen Scirocco 1.3 CL,1981 - 1984,3,"Coupe
"
   Volkswagen Scirocco 1.4 TSI 122hp,2008 - 2009,3,"Coupe
"
   Volkswagen Sharan 2.0 CL,1996 - 1997,5,"MPV
"
   Volkswagen Sharan 2.0,1997 - 2000,5,"MPV
"
   Volkswagen Sharan 2.0 Trendline,2000 - 2010,5,"MPV
"
   Volkswagen Sharan 1.4 TSI BMT Easyline,2010 - 2014,5,"MPV
"
   Volkswagen Tiguan 1.4 TSI 122hp BlueMotion Techn. Easyline,2010 - 2011,5,"SUV
"
   Volkswagen Tiguan 1.4 TSI 122hp BMT Easyline,2011 - 2015,5,"SUV
"
   Volkswagen Touareg 3.2 V6,2002 - 2004,5,"SUV
"
   Volkswagen Touareg 3.6 V6 FSI,2007 - 2010,5,"SUV
"
   Volkswagen Touareg 3.6 V6 FSI BMT,2010 - 2012,5,"SUV
"
   Volkswagen CrossTouran 1.6,2007 - 2008,5,"MPV
"
   Volkswagen CrossTouran 1.4 TSI,2010 - 2013,5,"MPV
"
   Volkswagen Touran 1.6,2003 - 2006,5,"MPV
"
   Volkswagen Touran 1.6 Easyline,2008 - 2010,5,"MPV
"
   Volkswagen Touran 1.2 TSI Easyline,2010 - 2013,5,"MPV
"
   Volkswagen Transporter L1H1 26 2.0 TDI 84hp Trendline,2012 - 2015,4,"Passenger bus
"
   Volkswagen Up! 1.0 60hp take up!,2012 - 2012,5,"Hatchback
"
   Volkswagen Vento 1.4 CL,1995 - 1998,4,"Sedan
"
   Volvo 240,1983 - 1985,4,"Sedan
"
   Volvo 240,1985 - 1987,4,"Sedan
"
   Volvo 240 Estate,1983 - 1985,5,"Station wagon
"
   Volvo 240 Estate,1985 - 1987,5,"Station wagon
"
   Volvo 340 Winner 1.4,1982 - 1985,3,"Hatchback
"
   Volvo 340 Winner 1.4,1985 - 1988,3,"Hatchback
"
   Volvo 340 Winner 1.4,1982 - 1985,5,"Hatchback
"
   Volvo 340 Winner Special 1.4,1985 - 1987,5,"Hatchback
"
   Volvo 340 DL 1.4,1983 - 1985,4,"Sedan
"
   Volvo 340 DL 1.4,1985 - 1989,4,"Sedan
"
   Volvo 440 DL 1.6i,1992 - 1993,5,"Hatchback
"
   Volvo 440 1.6i,1994 - 1994,5,"Hatchback
"
   Volvo 440 1.6i Experience,1995 - 1996,5,"Hatchback
"
   Volvo 460 GL 64kW,1990 - 1991,4,"Sedan
"
   Volvo 460 1.6i,1994 - 1994,4,"Sedan
"
   Volvo 460 1.6i Experience,1995 - 1996,4,"Sedan
"
   Volvo 480 ES,1986 - 1988,3,"Coupe
"
   Volvo 740,1987 - 1989,4,"Sedan
"
   Volvo 740 2.0,1990 - 1992,4,"Sedan
"
   Volvo 740 Estate,1987 - 1989,5,"Station wagon
"
   Volvo 740 2.0 Estate,1990 - 1992,5,"Station wagon
"
   Volvo 760 GLE,1982 - 1984,4,"Sedan
"
   Volvo 760 GLE,1988 - 1989,4,"Sedan
"
   Volvo 760 GLE Estate,1985 - 1986,5,"Station wagon
"
   Volvo 760 GLE Estate,1988 - 1989,5,"Station wagon
"
   Volvo 780,1986 - 1988,2,"Coupe
"
   Volvo 850 2.5i,1993 - 1994,4,"Sedan
"
,,,
,,,
,,,
   Volvo 850 2.0i,1994 - 1997,4,"Sedan
"
   Volvo 850 2.5i Estate,1993 - 1994,5,"Station wagon
"
   Volvo 850 2.0i Estate,1994 - 1997,5,"Station wagon
"
   Volvo 940 Polar 2.0i,1993 - 1994,4,"Sedan
"
   Volvo 940 Polar 2.3,1996 - 1997,4,"Sedan
"
   Volvo 940 Estate Polar 2.0i,1993 - 1994,5,"Station wagon
"
   Volvo 940 Estate Polar 2.3,1996 - 1998,5,"Station wagon
"
   Volvo 960 3.0i 24V,1993 - 1994,4,"Sedan
"
   Volvo 960 2.5i 24 Valve,1994 - 1997,4,"Sedan
"
   Volvo 960 Estate 3.0i 24V,1993 - 1994,5,"Station wagon
"
   Volvo 960 Estate 2.5i 24 Valve,1994 - 1997,5,"Station wagon
"
   Volvo C30 1.6,2006 - 2009,3,"Coupe
"
   Volvo C30 1.6 Advantage,2010 - 2010,3,"Coupe
"
   Volvo C70 2.0 T,1999 - 2002,2,"Coupe
"
   Volvo C70 2.4 Kinetic,2006 - 2009,2,"Convertible
"
   Volvo C70 2.4 Kinetic,2009 - 2010,2,"Convertible
"
   Volvo C70 Convertible 2.0 T,1999 - 2005,2,"Convertible
"
   Volvo S40 1.6,1997 - 1999,4,"Sedan
"
   Volvo S40 1.6,2000 - 2002,4,"Sedan
"
   Volvo S40 1.6,2002 - 2003,4,"Sedan
"
   Volvo S40 1.6,2006 - 2007,4,"Sedan
"
   Volvo S40 1.6,2007 - 2010,4,"Sedan
"
   Volvo S60 2.4 140hp,2000 - 2004,4,"Sedan
"
   Volvo S60 2.4 140hp,2004 - 2009,4,"Sedan
"
   Volvo S60 T3,2010 - 2012,4,"Sedan
"
   Volvo S70 2.0,1997 - 1999,4,"Sedan
"
   Volvo S80 2.4 140hp,1999 - 2003,4,"Sedan
"
   Volvo S80 2.4 140hp,2003 - 2005,4,"Sedan
"
   Volvo S80 2.0,2007 - 2009,4,"Sedan
"
   Volvo S80 2.0,2009 - 2010,4,"Sedan
"
   Volvo S80 T4 Kinetic,2011 - 2013,4,"Sedan
"
   Volvo S90 3.0 (132kW),1997 - 1998,4,"Sedan
"
   Volvo V40 T2,2014 - 2015,5,"Hatchback
"
   Volvo V40 1.6,1999 - 2000,5,"Station wagon
"
   Volvo V40 1.6,2000 - 2002,5,"Station wagon
"
   Volvo V40 1.6,2002 - 2003,5,"Station wagon
"
   Volvo V50 1.6,2006 - 2007,5,"Station wagon
"
   Volvo V50 1.6,2007 - 2010,5,"Station wagon
"
   Volvo V60 T3,2010 - 2012,5,"Station wagon
"
   Volvo V70 2.0,1997 - 1999,5,"Station wagon
"
   Volvo V70 2.4 140hp,2000 - 2004,5,"Station wagon
"
   Volvo V70 2.4 140hp,2004 - 2006,5,"Station wagon
"
   Volvo V70 2.0,2007 - 2010,5,"Station wagon
"
   Volvo V70 T4 Kinetic,2011 - 2013,5,"Station wagon
"
   Volvo V70 Cross Country 2.4 T ,2000 - 2002,5,"Station wagon
"
   Volvo V90 3.0 (132kW),1997 - 1998,5,"Station wagon
"
   Volvo XC60 2.0T,2010 - 2010,5,"SUV
"
   Volvo XC70 2.5 T AWD,2002 - 2004,5,"SUV
"
,,,
,,,
,,,
   Volvo XC70 2.5 T AWD,2004 - 2006,5,"SUV
"
   Volvo XC70 3.2 AWD Kinetic,2007 - 2009,5,"SUV
"
   Volvo XC70 T6 AWD Kinetic,2011 - 2013,5,"SUV
"
   Volvo XC90 2.5T,2003 - 2004,5,"SUV
"
   Volvo XC90 2.5T Kinetic,2006 - 2006,5,"SUV
"
   Volvo XC90 3.2 Kinetic,2011 - 2012,5,"SUV
"
   Audi A3 Sportback 1.2 TFSI 105hp Attraction,2013 - 2014,5,"Hatchback
"
   Audi Q5 2.0 TFSI 180hp quattro,2013 - 2017,5,"SUV
"
   Audi R8 4.2 FSI quattro,2012 - 2015,2,"Coupe
"
   Audi R8 Spyder 4.2 FSI quattro,2012 - 2015,2,"Convertible
"
   Chevrolet Cruze Stationwagon 1.4T LT,2012 - 2014,5,"Station wagon
"
   Dacia Sandero Tce 90 Ambiance,2012 - 2015,5,"Hatchback
"
   Ferrari 458 Italia HELE,2011 - 2015,2,"Coupe
"
   Ferrari 550 Maranello,1996 - 2002,2,"Coupe
"
   Ferrari 575M Maranello,2002 - 2006,2,"Coupe
"
   Ferrari Superamerica,2005 - 2006,2,"Coupe
"
   Ferrari 612 Scaglietti,2004 - 2009,2,"Coupe
"
   Fiat 500L TwinAir Turbo 105 Eco Pop,2012 - 2017,5,"MPV
"
   Ford B-MAX 1.0 EcoBoost 100hp Ambiente,2012 - 2017,5,"MPV
"
   Ford Fiesta 1.0 65hp Ambiente,2012 - 2016,3,"Hatchback
"
   Honda CR-V 2.0 S 2WD,2012 - 2015,5,"SUV
"
   Jaguar XF Sportbrake XFR-S 5.0 V8 SC,2014 - 2015,5,"Station wagon
"
   Kia Sorento 2.4 GDI Plus Pack,2012 - 2014,5,"SUV
"
   Land Rover Freelander Si4 S,2012 - 2014,5,"SUV
"
   Land Rover Range Rover 5.0 V8 Supercharged Vogue,2013 - 2017,5,"SUV
"
   Lexus LS 600h Luxury Line,2013 - 2018,4,"Sedan
"
   Mazda 6 SkyActiv-G 2.0 145hp S,2013 - 2015,4,"Sedan
"
   Mazda 6 SportBreak SkyActiv-G 2.0 145hp S,2012 - 2015,5,"Station wagon
"
   Mazda MX-5 1.8 TS,2013 - 2015,2,"Convertible
"
   Mazda MX-5 Roadster Coupe 1.8 TS+,2013 - 2015,2,"Convertible
"
   Mercedes-Benz A 180 120 CO2 Economy,2013 - 2015,5,"Hatchback
"
   Mercedes-Benz CLK 200 Cabriolet Sport,1998 - 1999,2,"Convertible
"
   Mercedes-Benz GL 400 4Matic,2014 - 2015,5,"SUV
"
   Mini Paceman Cooper,2013 - 2014,3,"SUV
"
   Mitsubishi ASX 1.6 ClearTec Inform,2012 - 2014,5,"SUV
"
   Mitsubishi Outlander 2.0 ClearTec Intense 2WD,2012 - 2014,5,"SUV
"
   Opel Adam 1.2,2013 - 2017,3,"Hatchback
"
   Opel Mokka 1.6 Selection,2012 - 2016,5,"SUV
"
   Renault Twizy Urban,2012 - 2019,2,"Hatchback
"
   Seat Leon 1.0 EcoTSI Reference,2015 - 2017,5,"Hatchback
"
   Skoda Rapid 1.2 Active,2013 - 2015,5,"Hatchback
"
   Suzuki Grand Vitara 1.6 Comfort,2012 - 2015,3,"SUV
"
   Suzuki Grand Vitara 2.4 Exclusive,2012 - 2015,5,"SUV
"
   Toyota Auris 1.3 VVT-i Comfort,2013 - 2015,5,"Hatchback
"
   Volkswagen Golf 1.2 TSI 85hp Easyline,2012 - 2014,3,"Hatchback
"
   Volvo V40 Cross Country T3,2015 - 2016,5,"Hatchback
"
   Donkervoort D8 GT 180,2008 - 2013,2,"Convertible
"
   Landwind Landwind 2.0 2WD,2005 - 2008,5,"SUV
"
,,,
,,,
,,,
   Asia Motors Rocsta 1.8 Softtop,1993 - 1999,3,"SUV
"
   Austin Maestro 1.3 Magic,1987 - 1989,5,"Hatchback
"
   Austin Metro 1000 Special,1982 - 1984,3,"Hatchback
"
   Austin Metro 1.0 Special,1985 - 1989,3,"Hatchback
"
   Austin Metro 1.0 Surf,1986 - 1987,5,"Hatchback
"
   Austin Mini 1000 L,1980 - 1983,2,"Hatchback
"
   Austin Montego 2.0 Mayfair,1985 - 1987,4,"Hatchback
"
   Austin Montego 1.3,1984 - 1989,4,"Sedan
"
   Austin Montego Estate 1.6 LS,1985 - 1989,5,"Station wagon
"
   Autobianchi A112 Junior,1980 - 1982,3,"Hatchback
"
   Buick Park Avenue,1991 - 1995,4,"Sedan
"
   Corvette C6 Coupe,2004 - 2007,3,"Coupe
"
   Corvette C6 Convertible,2005 - 2007,2,"Convertible
"
   Daimler 3.6,1986 - 1989,4,"Sedan
"
   Daimler 4.0,1989 - 1994,4,"Sedan
"
   Daimler Double Six,1982 - 1986,4,"Sedan
"
   Daimler Double Six,1986 - 1992,4,"Sedan
"
   Daimler Double Six,1993 - 1994,4,"Sedan
"
   Daimler Double Six,1994 - 1995,4,"Sedan
"
   Daimler Super Eight,2005 - 2009,4,"Sedan
"
   Daimler V8 LWB 4.0,1997 - 2003,4,"Sedan
"
   Datsun Bluebird 1600 DX,1980 - 1984,4,"Sedan
"
   Datsun Bluebird Combi 1800 GL,1980 - 1984,5,"Station wagon
"
   Datsun Cherry 1000 Custom,1980 - 1982,3,"Hatchback
"
   Datsun Cherry 1200 Luxe,1980 - 1981,5,"Hatchback
"
   Datsun Cherry Coupe 1400 GL,1980 - 1981,3,"Coupe
"
   Datsun Laurel 2400 De Luxe,1979 - 1981,4,"Sedan
"
   Datsun Laurel 2400 SGL,1981 - 1983,4,"Sedan
"
   Datsun Stanza 1600 De Luxe,1981 - 1983,3,"Hatchback
"
   Datsun Stanza 1600 De Luxe,1981 - 1983,4,"Sedan
"
   Datsun Stanza 1800 GL,1981 - 1983,5,"Sedan
"
   Datsun Sunny 1200 Custom,1980 - 1982,2,"Sedan
"
   Datsun Sunny 1500 GL,1980 - 1982,4,"Sedan
"
   Datsun Sunny Coupe 1500 GL,1980 - 1982,4,"Sedan
"
   Datsun Sunny Combi 1500,1980 - 1983,5,"Station wagon
"
   Datsun Sylvia 1800 SX,1979 - 1982,3,"Coupe
"
   Datsun Violet De Luxe,1979 - 1982,4,"Sedan
"
   Datsun Violet Coupe De Luxe,1979 - 1982,3,"Coupe
"
   FSO Caro 1.6 SLXi,1996 - 1998,5,"Hatchback
"
   FSO Celina 1.6 GLi,1996 - 1998,4,"Sedan
"
   FSO Classic 1.5 SLE,1988 - 1991,4,"Sedan
"
   FSO Classic 1.5 Estate,1988 - 1991,5,"Station wagon
"
   FSO Polonez 1.5,1983 - 1986,5,"Hatchback
"
   FSO Polonez 1.5 Estate,1983 - 1986,5,"Station wagon
"
   FSO Prima 1.5 CLE,1988 - 1991,5,"Hatchback
"
   Galloper Galloper 3.0 V6,1999 - 2002,3,"SUV
"
   Galloper Galloper 3.0 V6,1999 - 2002,5,"SUV
"
   Innocenti 90 L,1979 - 1982,3,"Hatchback
"
,,,
,,,
,,,
   Josse Indigo 3000,1998 - 2001,2,"Convertible
"
   Lincoln Continental,1995 - 1998,4,"Sedan
"
   Lincoln Continental Signature Series,1988 - 1995,4,"Sedan
"
   Lincoln Mark VIII,1993 - 1996,2,"Coupe
"
   Lincoln Navigator,1998 - 2001,5,"SUV
"
   Lincoln Town Car,1994 - 1996,4,"Sedan
"
   Lincoln Town Car,1998 - 2003,4,"Sedan
"
   Marcos LM 500 Coupe,1994 - 1998,2,"Coupe
"
   Marcos LM 500 Spyder,1994 - 1998,2,"Convertible
"
   Marcos Mantara Coupe,1994 - 1998,2,"Coupe
"
   Marcos Mantara Spyder,1994 - 1998,2,"Convertible
"
   Mega Tjaffer 1.1i Cabrio,1994 - 1999,2,"Convertible
"
   Mercury Grand Marquis LS,1991 - 1998,4,"Sedan
"
   Mercury Grand Marquis,2000 - 2003,4,"Sedan
"
   Mercury Sable GS,1992 - 1994,4,"Sedan
"
   Mercury Sable Stationwagon GS,1992 - 1994,5,"Station wagon
"
   Mercury Sable Wagon LS,1996 - 2000,5,"Station wagon
"
   Mercury Sable Wagon,2000 - 2003,5,"Station wagon
"
   Mercury Villager,1993 - 1998,4,"MPV
"
   Morris Ital 1300 HLS,1981 - 1982,4,"Sedan
"
   Morris Marina 1300 L,1979 - 1981,2,"Sedan
"
   Morris Marina 1300 L,1979 - 1981,4,"Sedan
"
   Noble M12 GTO 3R,2005 - 2008,2,"Coupe
"
   Noble M400,2005 - 2008,2,"Coupe
"
   PGO Speedster 2,2005 - 2009,2,"Convertible
"
   Pontiac Bonneville SSE,1990 - 1993,4,"Sedan
"
   Pontiac Firebird Coupe,1990 - 1994,3,"Coupe
"
   Pontiac Firebird Coupe,1994 - 1997,3,"Coupe
"
   Pontiac Firebird Convertible,1995 - 1996,2,"Convertible
"
   Pontiac Grand Prix LE,1990 - 1994,4,"Sedan
"
   Pontiac Grand Prix SE Coupe,1990 - 1992,2,"Coupe
"
   Pontiac Trans Sport 2.3i-16V,1993 - 1996,4,"MPV
"
   Princess 2000,1978 - 1982,4,"Sedan
"
   Spectre R42,1997 - 2001,2,"Coupe
"
   Talbot 1100 LS,1980 - 1981,3,"Hatchback
"
   Talbot 1100 LS,1980 - 1981,5,"Hatchback
"
   Talbot 1100 Tourist LS,1980 - 1981,5,"Station wagon
"
   Talbot 1510 1.3 LS,1979 - 1982,5,"Hatchback
"
